market_name,domain,product_id,product_name,price,is_available,measure,product_url,vender_name,category_name,subcategory_name,category_url
okey,https://www.okeydostavka.ru,52875,Говядина вырезка п/ф охлажденный СП кг,1318.0,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-vyrezka-p-f-okhlazhdennyi-sp-kg,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,57513,Ребрышки свиные с корейки охлажденные Самсон кг,570.9,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/rebryshki-svinye-s-koreiki-okhlazhdennye-samson-kg,"ООО ""Всеволожский МК""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,265240,Свинина окорок б/к охлажденная в/у Черкизово кг,424.4,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-okorok-b-k-okhlazhdennaia-v-u-cherkizovo-kg,"Черкизово, Россия","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,385855,Свинина вырезка охлажденная Самсон кг,625.9,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-vyrezka-okhlazhdennaia-samson-kg,"ООО ""Всеволожский МК""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,656103,Говядина мраморная мякоть бедра б/к охлажденная Black Angus Мираторг кг,1131.0,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-mramornaia-miakot-bedra-b-k-okhlazhdennaia-,"ООО ""Брянская мясная компания""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,746249,Ребрышки свиные охлажденные Черкизово кг,469.4,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/rebryshki-svinye-okhlazhdennye-cherkizovo-kg,"ОАО ""Черкизовский Мясоперерабатывающий комбинат""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,887144,Филе цыпленка охлажденное Петруха 850г,324.5,"0,85",кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/file-tsyplenka-okhlazhdennoe-petrukha-850g-833137-parent-1,"№1: ЗАО ""Серволюкс Агро""; №2: ОАО ""Смолевичи Бройлер""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,937179,Медальоны куриные Петруха 600г,267.9,"0,6",кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%BC%D0%B5%D0%B4%D0%B0%D0%BB%D1%8C%D0%BE%D0%BD%D1%8B-%D0%BA%D1%83%D1%80%D0%B8%D0%BD%D1%8B%D0%B5-%D0%BF%D0%B5%D1%82%D1%80%D1%83%D1%85%D0%B0-600%D0%B3-855615-parent--1,"ОАО ""Смолевичи Бройлер""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,3074457345617645704,Мякоть бедра цыпленка бескостная охлажденная Петруха 750г,189.99,"0,75",кг,/spb/skidki-1/%D0%BC%D1%8F%D0%BA%D0%BE%D1%82%D1%8C-%D0%B1%D0%B5%D0%B4%D1%80%D0%B0-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%B1%D0%B5%D1%81%D0%BA%D0%BE%D1%81%D1%82%D0%BD%D0%B0%D1%8F-%D0%BE%D1%85%D0%BB%D0%B0%D0%B6%D0%B4%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F-873887-parent-3074457345617645704--1,"№1: ЗАО ""Серволюкс Агро""; №2: ОАО ""Смолевичи Бройлер""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
okey,https://www.okeydostavka.ru,43921,Грудка цыпленка охлажденная 300-550г Роскар кг,301.4,1,кг,/spb/miaso-ptitsa-kolbasy-1/ptitsa-1-3074457345616801224/%D0%B3%D1%80%D1%83%D0%B4%D0%BA%D0%B0-%D1%86%D1%8B%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%B0-%D0%BE%D1%85%D0%BB-300-550%D0%B3-%D1%80%D0%BE%D1%81%D0%BA%D0%B0%D1%80--%D0%BA%D0%B3-461373-parent--1,"ПАО ""Птицефабрика Роскар""","Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
