product_id,market_name,domain,product_name,vender_name,price,is_available,measure,product_url,category_name,subcategory_name,category_url
43921,okey,https://www.okeydostavka.ru,Грудка цыпленка охлажденная 300-550г Роскар кг,"ПАО ""Птицефабрика Роскар""",301.4,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/grudka-tsyplenka-okhlazhdennaia-300-550g-roskar-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
43924,okey,https://www.okeydostavka.ru,Филе цыпленка охлажденное 300-550г Роскар кг,"ПАО ""Птицефабрика Роскар""",418.9,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/file-tsyplenka-okhlazhdennoe-300-550g-roskar-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
44121,okey,https://www.okeydostavka.ru,Цыпленок 1кат охлажденный ПФ Северная кг,"ОАО ""ПТИЦЕФАБРИКА ""СЕВЕРНАЯ""",200.4,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/tsyplenok-1kat-okhlazhdennyi-pf-severnaia-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
44242,okey,https://www.okeydostavka.ru,Цыпленок 1кат охлажденный н/п Петелинка кг,"ЗАО ""Петелинская птицефабрика"", Россия",208.9,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/tsyplenok-1kat-okhlazhdennyi-n-p-petelinka-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
44245,okey,https://www.okeydostavka.ru,Бедро цыпленка охлажденное Петелинка кг,"ЗАО ""Петелинская птицефабрика"", Россия",256.4,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/bedro-tsyplenka-okhlazhdennoe-petelinka-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
44246,okey,https://www.okeydostavka.ru,Филе цыпленка охлажденное Петелинка кг,"ЗАО ""Петелинская птицефабрика"", Россия",424.4,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/file-tsyplenka-okhlazhdennoe-petelinka-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
44248,okey,https://www.okeydostavka.ru,Окорок цыпленка охлажденный Петелинка кг,"ЗАО ""Петелинская птицефабрика"", Россия",250.9,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/okorok-tsyplenka-okhlazhdennyi-petelinka-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
44249,okey,https://www.okeydostavka.ru,Голень цыпленка охлажденная Петелинка кг,"ЗАО ""Петелинская птицефабрика"", Россия",299.5,1,кг,/spb/golen-tsyplenka-okhlazhdennaia-petelinka-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
44252,okey,https://www.okeydostavka.ru,Грудка цыпленка охлажденная Петелинка кг,"ЗАО ""Петелинская птицефабрика"", Россия",279.4,1,кг,/spb/grudka-tsyplenka-okhlazhdennaia-petelinka-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
45082,okey,https://www.okeydostavka.ru,Крыло индейки п/ф охлажденный кг,"ООО ""Конкорд"", Россия",234.4,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/krylo-indeiki-p-f-okhlazhdennyi-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
